player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
Roman Cervenka (C/LW),Piráti Chomutov,49,23,38,61,1.24,96,12,https://www.eliteprospects.com/player/15130/roman-cervenka,2015-2016,czechia,Roman Cervenka (C/LW),C/LW
Daniel Pribyl (C),HC Sparta Praha,45,16,29,45,1.00,16,14,https://www.eliteprospects.com/player/101160/daniel-pribyl,2015-2016,czechia,Daniel Pribyl (C),C
Petr Vampola (C/LW),Bílí Tygři Liberec,52,14,31,45,0.87,64,10,https://www.eliteprospects.com/player/22788/petr-vampola,2015-2016,czechia,Petr Vampola (C/LW),C/LW
Jaroslav Bednar (LW/RW),Mountfield HK,50,13,29,42,0.84,44,2,https://www.eliteprospects.com/player/10863/jaroslav-bednar,2015-2016,czechia,Jaroslav Bednar (LW/RW),LW/RW
Jan Buchtele (LW),HC Sparta Praha,47,19,22,41,0.87,28,15,https://www.eliteprospects.com/player/33049/jan-buchtele,2015-2016,czechia,Jan Buchtele (LW),LW
Vojtech Nemec (C/LW),HC Kometa Brno,50,16,25,41,0.82,58,-4,https://www.eliteprospects.com/player/48297/vojtech-nemec,2015-2016,czechia,Vojtech Nemec (C/LW),C/LW
Branko Radivojevic (RW),Bílí Tygři Liberec,51,15,26,41,0.80,71,25,https://www.eliteprospects.com/player/5676/branko-radivojevic,2015-2016,czechia,Branko Radivojevic (RW),RW
Petr Holík (C),HC Zlín,52,11,30,41,0.79,12,-5,https://www.eliteprospects.com/player/70382/petr-holik,2015-2016,czechia,Petr Holík (C),C
Dominik Kubalik (LW/RW),HC Plzeň,48,25,15,40,0.83,20,1,https://www.eliteprospects.com/player/101221/dominik-kubalik,2015-2016,czechia,Dominik Kubalik (LW/RW),LW/RW
Jaroslav Kracík (C),HC Plzeň,50,11,29,40,0.80,40,7,https://www.eliteprospects.com/player/22789/jaroslav-kracik,2015-2016,czechia,Jaroslav Kracík (C),C
