player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
Patrick Reimer (RW),Nürnberg Ice Tigers,52,26,38,64,1.23,53,16,https://www.eliteprospects.com/player/17965/patrick-reimer,2015-2016,del,Patrick Reimer (RW),RW
Steven Reinprecht (C),Nürnberg Ice Tigers,46,19,36,55,1.20,6,11,https://www.eliteprospects.com/player/8725/steven-reinprecht,2015-2016,del,Steven Reinprecht (C),C
Will Acton (C/LW),Schwenninger Wild Wings,46,16,39,55,1.20,67,-3,https://www.eliteprospects.com/player/32173/will-acton,2015-2016,del,Will Acton (C/LW),C/LW
Daniel Pietta (C/LW),Krefeld Pinguine,47,15,37,52,1.11,22,2,https://www.eliteprospects.com/player/22387/daniel-pietta,2015-2016,del,Daniel Pietta (C/LW),C/LW
Jon Matsumoto (C),Augsburger Panther,52,20,29,49,0.94,54,-3,https://www.eliteprospects.com/player/11409/jon-matsumoto,2015-2016,del,Jon Matsumoto (C),C
Brandon Buck (LW),ERC Ingolstadt,41,20,28,48,1.17,26,2,https://www.eliteprospects.com/player/14430/brandon-buck,2015-2016,del,Brandon Buck (LW),LW
Louie Caporusso (C/LW),Iserlohn Roosters,49,18,30,48,0.98,32,10,https://www.eliteprospects.com/player/12529/louie-caporusso,2015-2016,del,Louie Caporusso (C/LW),C/LW
Philip Gogulla (LW),Kölner Haie,52,20,26,46,0.88,10,7,https://www.eliteprospects.com/player/10612/philip-gogulla,2015-2016,del,Philip Gogulla (LW),LW
Drew LeBlanc (C),Augsburger Panther,45,15,31,46,1.02,18,2,https://www.eliteprospects.com/player/15518/drew-leblanc,2015-2016,del,Drew LeBlanc (C),C
Norm Milley (RW),Düsseldorfer EG,51,10,35,45,0.88,41,-1,https://www.eliteprospects.com/player/8981/norm-milley,2015-2016,del,Norm Milley (RW),RW
Sebastian Furchner (LW/RW),Grizzlys Wolfsburg,50,22,22,44,0.88,16,9,https://www.eliteprospects.com/player/22312/sebastian-furchner,2015-2016,del,Sebastian Furchner (LW/RW),LW/RW
