player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
Chad Costello (RW),Allen Americans,72,24,79,103,1.43,36,-1,https://www.eliteprospects.com/player/11913/chad-costello,2015-2016,echl,Chad Costello (RW),RW
Trent Daavettila (C/LW),Colorado Eagles,71,25,55,80,1.13,26,30,https://www.eliteprospects.com/player/41053/trent-daavettila,2015-2016,echl,Trent Daavettila (C/LW),C/LW
Shawn Szydlowski (RW),Fort Wayne Komets,62,25,50,75,1.21,82,23,https://www.eliteprospects.com/player/23667/shawn-szydlowski,2015-2016,echl,Shawn Szydlowski (RW),RW
Riley Brace (RW/LW),Wheeling Nailers,56,26,41,67,1.20,76,6,https://www.eliteprospects.com/player/37664/riley-brace,2015-2016,echl,Riley Brace (RW/LW),RW/LW
Shane Berschbach (RW/LW),Toledo Walleye,61,24,43,67,1.10,6,14,https://www.eliteprospects.com/player/21592/shane-berschbach,2015-2016,echl,Shane Berschbach (RW/LW),RW/LW
Matt Willows (RW),Florida Everblades,71,23,43,66,0.93,25,14,https://www.eliteprospects.com/player/60188/matt-willows,2015-2016,echl,Matt Willows (RW),RW
Jack Downing (RW/C),Cincinnati Cyclones,72,32,32,64,0.89,27,14,https://www.eliteprospects.com/player/19064/jack-downing,2015-2016,echl,Jack Downing (RW/C),RW/C
Ludwig Blomstrand (LW),Kalamazoo Wings,71,29,34,63,0.89,42,-10,https://www.eliteprospects.com/player/21651/ludwig-blomstrand,2015-2016,echl,Ludwig Blomstrand (LW),LW
Peter Sivak (RW),totals,61,22,41,63,1.03,35,-5,https://www.eliteprospects.com/player/34714/peter-sivak,2015-2016,echl,Peter Sivak (RW),RW
Derek Nesbitt (LW/RW),Atlanta Gladiators,72,28,34,62,0.86,20,-8,https://www.eliteprospects.com/player/14648/derek-nesbitt,2015-2016,echl,Derek Nesbitt (LW/RW),LW/RW
David Pacan (C/RW),South Carolina Stingrays,69,20,42,62,0.90,43,27,https://www.eliteprospects.com/player/38052/david-pacan,2015-2016,echl,David Pacan (C/RW),C/RW
Charlie Sarault (C),Utah Grizzlies,67,19,43,62,0.93,32,-2,https://www.eliteprospects.com/player/31563/charlie-sarault,2015-2016,echl,Charlie Sarault (C),C
Tyler Barnes (RW),Missouri Mavericks,69,24,37,61,0.88,32,24,https://www.eliteprospects.com/player/19069/tyler-barnes,2015-2016,echl,Tyler Barnes (RW),RW
Michael Kirkpatrick (RW/C),Adirondack Thunder,72,29,31,60,0.83,24,-5,https://www.eliteprospects.com/player/32863/michael-kirkpatrick,2015-2016,echl,Michael Kirkpatrick (RW/C),RW/C
