player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
Sergei Mozyakin (LW),Metallurg Magnitogorsk,57,32,35,67,1.18,0,11,https://www.eliteprospects.com/player/14828/sergei-mozyakin,2015-2016,khl,Sergei Mozyakin (LW),LW
Alexander Radulov (RW),CSKA Moskva,53,23,42,65,1.23,73,28,https://www.eliteprospects.com/player/8794/alexander-radulov,2015-2016,khl,Alexander Radulov (RW),RW
Brandon Bochenski (RW/LW),Barys Astana,60,20,41,61,1.02,48,16,https://www.eliteprospects.com/player/10260/brandon-bochenski,2015-2016,khl,Brandon Bochenski (RW/LW),RW/LW
Vadim Shipachyov (C),SKA St. Petersburg,54,17,43,60,1.11,63,-8,https://www.eliteprospects.com/player/19550/vadim-shipachyov,2015-2016,khl,Vadim Shipachyov (C),C
Linus Omark (LW),Salavat Yulaev Ufa,60,18,39,57,0.95,40,12,https://www.eliteprospects.com/player/4008/linus-omark,2015-2016,khl,Linus Omark (LW),LW
Matt Ellison (C/W),Dinamo Minsk,54,26,29,55,1.02,54,-10,https://www.eliteprospects.com/player/9145/matt-ellison,2015-2016,khl,Matt Ellison (C/W),C/W
Danis Zaripov (RW),Metallurg Magnitogorsk,60,22,32,54,0.90,26,9,https://www.eliteprospects.com/player/11045/danis-zaripov,2015-2016,khl,Danis Zaripov (RW),RW
Nigel Dawes (LW),Barys Astana,55,31,22,53,0.96,16,15,https://www.eliteprospects.com/player/9503/nigel-dawes,2015-2016,khl,Nigel Dawes (LW),LW
Justin Azevedo (C/RW),Ak Bars Kazan,59,17,36,53,0.90,26,6,https://www.eliteprospects.com/player/9347/justin-azevedo,2015-2016,khl,Justin Azevedo (C/RW),C/RW
Jan Kovář (C),Metallurg Magnitogorsk,58,20,32,52,0.90,61,7,https://www.eliteprospects.com/player/18083/jan-kova%C5%99,2015-2016,khl,Jan Kovář (C),C
Nikita Gusev (LW),totals,56,20,29,49,0.88,14,15,https://www.eliteprospects.com/player/75169/nikita-gusev,2015-2016,khl,Nikita Gusev (LW),LW
Ilya Kovalchuk (LW),SKA St. Petersburg,50,16,33,49,0.98,24,-3,https://www.eliteprospects.com/player/3660/ilya-kovalchuk,2015-2016,khl,Ilya Kovalchuk (LW),LW
Brandon Kozun (RW),Jokerit,58,15,34,49,0.84,67,7,https://www.eliteprospects.com/player/23151/brandon-kozun,2015-2016,khl,Brandon Kozun (RW),RW
Peter Regin (C),Jokerit,60,17,31,48,0.80,32,5,https://www.eliteprospects.com/player/4104/peter-regin,2015-2016,khl,Peter Regin (C),C
Wojtek Wolski (LW/RW),Metallurg Magnitogorsk,54,18,29,47,0.87,22,19,https://www.eliteprospects.com/player/8832/wojtek-wolski,2015-2016,khl,Wojtek Wolski (LW/RW),LW/RW
Lukas Kaspar (LW/RW),HC Slovan Bratislava,58,16,31,47,0.81,39,15,https://www.eliteprospects.com/player/9616/lukas-kaspar,2015-2016,khl,Lukas Kaspar (LW/RW),LW/RW
Yevgeni Dadonov (RW/LW),SKA St. Petersburg,59,23,23,46,0.78,4,-1,https://www.eliteprospects.com/player/11859/yevgeni-dadonov,2015-2016,khl,Yevgeni Dadonov (RW/LW),RW/LW
Anatoli Golyshev (RW),Avtomobilist Yekaterinburg,56,25,19,44,0.79,26,5,https://www.eliteprospects.com/player/205469/anatoli-golyshev,2015-2016,khl,Anatoli Golyshev (RW),RW
André Petersson (RW),HK Sochi,45,22,22,44,0.98,26,8,https://www.eliteprospects.com/player/7039/andre-petersson,2015-2016,khl,André Petersson (RW),RW
Igor Grigorenko (RW/C),Salavat Yulaev Ufa,55,18,26,44,0.80,30,6,https://www.eliteprospects.com/player/9566/igor-grigorenko,2015-2016,khl,Igor Grigorenko (RW/C),RW/C
Daniil Apalkov (C/LW),Lokomotiv Yaroslavl,59,16,27,43,0.73,46,27,https://www.eliteprospects.com/player/47536/daniil-apalkov,2015-2016,khl,Daniil Apalkov (C/LW),C/LW
Dustin Boyd (C),Barys Astana,51,20,21,41,0.80,45,14,https://www.eliteprospects.com/player/9191/dustin-boyd,2015-2016,khl,Dustin Boyd (C),C
Andrei Kostitsyn (LW/RW),totals,54,20,21,41,0.76,65,7,https://www.eliteprospects.com/player/6666/andrei-kostitsyn,2015-2016,khl,Andrei Kostitsyn (LW/RW),LW/RW
Anton Burdasov (RW),totals,56,15,25,40,0.71,26,11,https://www.eliteprospects.com/player/38657/anton-burdasov,2015-2016,khl,Anton Burdasov (RW),RW
Cam Barker (D),HC Slovan Bratislava,55,9,31,40,0.73,75,0,https://www.eliteprospects.com/player/9198/cam-barker,2015-2016,khl,Cam Barker (D),D
Kevin Dallman (D),Barys Astana,60,8,32,40,0.67,16,0,https://www.eliteprospects.com/player/9129/kevin-dallman,2015-2016,khl,Kevin Dallman (D),D
Kaspars Daugavins (RW/C),totals,52,15,24,39,0.75,14,4,https://www.eliteprospects.com/player/11335/kaspars-daugavins,2015-2016,khl,Kaspars Daugavins (RW/C),RW/C
Teemu Hartikainen (C/W),Salavat Yulaev Ufa,54,10,29,39,0.72,22,16,https://www.eliteprospects.com/player/11365/teemu-hartikainen,2015-2016,khl,Teemu Hartikainen (C/W),C/W
Alexei Tsvetkov (C),Dynamo Moskva,58,7,32,39,0.67,61,11,https://www.eliteprospects.com/player/16745/alexei-tsvetkov,2015-2016,khl,Alexei Tsvetkov (C),C
Jonathan Cheechoo (RW),Dinamo Minsk,54,16,22,38,0.70,28,-15,https://www.eliteprospects.com/player/5529/jonathan-cheechoo,2015-2016,khl,Jonathan Cheechoo (RW),RW
Mat Robinson (D),Dynamo Moskva,58,14,24,38,0.66,18,31,https://www.eliteprospects.com/player/34096/mat-robinson,2015-2016,khl,Mat Robinson (D),D
Dmitri Kagarlitsky (LW),Severstal Cherepovets,58,16,21,37,0.64,16,-1,https://www.eliteprospects.com/player/11862/dmitri-kagarlitsky,2015-2016,khl,Dmitri Kagarlitsky (LW),LW
Pavel Buchnevich (W/C),totals,58,16,21,37,0.64,24,-6,https://www.eliteprospects.com/player/158906/pavel-buchnevich,2015-2016,khl,Pavel Buchnevich (W/C),W/C
Oscar Möller (LW),Ak Bars Kazan,58,15,22,37,0.64,20,0,https://www.eliteprospects.com/player/5504/oscar-moller,2015-2016,khl,Oscar Möller (LW),LW
Marek Kvapil (LW/RW),totals,58,11,26,37,0.64,31,1,https://www.eliteprospects.com/player/8640/marek-kvapil,2015-2016,khl,Marek Kvapil (LW/RW),LW/RW
Petr Koukal (C),Avtomobilist Yekaterinburg,59,11,26,37,0.63,46,5,https://www.eliteprospects.com/player/22763/petr-koukal,2015-2016,khl,Petr Koukal (C),C
Chris Lee (D),Metallurg Magnitogorsk,60,9,28,37,0.62,38,24,https://www.eliteprospects.com/player/14002/chris-lee,2015-2016,khl,Chris Lee (D),D
Yegor Averin (RW),Lokomotiv Yaroslavl,49,21,15,36,0.73,28,19,https://www.eliteprospects.com/player/11857/yegor-averin,2015-2016,khl,Yegor Averin (RW),RW
Igor Bortnikov (LW/RW),Yugra Khanty-Mansiysk,60,20,16,36,0.60,14,-3,https://www.eliteprospects.com/player/19731/igor-bortnikov,2015-2016,khl,Igor Bortnikov (LW/RW),LW/RW
Nikolai Prokhorkin (C),Salavat Yulaev Ufa,55,19,17,36,0.65,91,10,https://www.eliteprospects.com/player/93769/nikolai-prokhorkin,2015-2016,khl,Nikolai Prokhorkin (C),C
Mikhail Zhukov (C/RW),Neftekhimik Nizhnekamsk,59,16,20,36,0.61,49,-2,https://www.eliteprospects.com/player/849/mikhail-zhukov,2015-2016,khl,Mikhail Zhukov (C/RW),C/RW
Alexander Perezhogin (LW/RW),Avangard Omsk,56,15,21,36,0.64,50,21,https://www.eliteprospects.com/player/8669/alexander-perezhogin,2015-2016,khl,Alexander Perezhogin (LW/RW),LW/RW
Jan Mursak (C/RW),CSKA Moskva,51,14,22,36,0.71,30,25,https://www.eliteprospects.com/player/11112/jan-mursak,2015-2016,khl,Jan Mursak (C/RW),C/RW
