player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
Kristian Kuusela (RW/LW),Tappara,56,20,39,59,1.05,14,25,https://www.eliteprospects.com/player/7627/kristian-kuusela,2015-2016,liiga,Kristian Kuusela (RW/LW),RW/LW
David McIntyre (C/W),SaiPa,58,16,40,56,0.97,67,19,https://www.eliteprospects.com/player/12282/david-mcintyre,2015-2016,liiga,David McIntyre (C/W),C/W
Teemu Ramstedt (C),HIFK,60,8,44,52,0.87,14,14,https://www.eliteprospects.com/player/7799/teemu-ramstedt,2015-2016,liiga,Teemu Ramstedt (C),C
Tomas Zaborsky (LW/C),HIFK,55,27,21,48,0.87,55,17,https://www.eliteprospects.com/player/10610/tomas-zaborsky,2015-2016,liiga,Tomas Zaborsky (LW/C),LW/C
Aaron Gagnon (C/RW),Lukko,60,25,23,48,0.80,36,11,https://www.eliteprospects.com/player/9498/aaron-gagnon,2015-2016,liiga,Aaron Gagnon (C/RW),C/RW
Ville Vahalahti (LW),Lukko,55,14,33,47,0.85,16,7,https://www.eliteprospects.com/player/7610/ville-vahalahti,2015-2016,liiga,Ville Vahalahti (LW),LW
Chad Rau (C/LW),SaiPa,60,28,18,46,0.77,0,4,https://www.eliteprospects.com/player/9371/chad-rau,2015-2016,liiga,Chad Rau (C/LW),C/LW
Toni Koivisto (LW),Lukko,58,17,29,46,0.79,12,3,https://www.eliteprospects.com/player/3182/toni-koivisto,2015-2016,liiga,Toni Koivisto (LW),LW
Sebastian Aho (C/W),Kärpät,45,20,25,45,1.00,2,26,https://www.eliteprospects.com/player/152111/sebastian-aho,2015-2016,liiga,Sebastian Aho (C/W),C/W
Tomi Kallio (RW),TPS,60,18,26,44,0.73,58,-5,https://www.eliteprospects.com/player/2092/tomi-kallio,2015-2016,liiga,Tomi Kallio (RW),RW
Josh Green (C/LW),KooKoo,58,19,24,43,0.74,36,-14,https://www.eliteprospects.com/player/10223/josh-green,2015-2016,liiga,Josh Green (C/LW),C/LW
Mikael Ruohomaa (C),KalPa,59,12,31,43,0.73,52,8,https://www.eliteprospects.com/player/50405/mikael-ruohomaa,2015-2016,liiga,Mikael Ruohomaa (C),C
Jarkko Malinen (C),KooKoo,51,12,30,42,0.82,8,-3,https://www.eliteprospects.com/player/10953/jarkko-malinen,2015-2016,liiga,Jarkko Malinen (C),C
Jukka Peltola (W/C),Tappara,59,17,22,39,0.66,16,17,https://www.eliteprospects.com/player/10508/jukka-peltola,2015-2016,liiga,Jukka Peltola (W/C),W/C
Dave Spina (RW/LW),TPS,52,16,23,39,0.75,63,13,https://www.eliteprospects.com/player/11575/dave-spina,2015-2016,liiga,Dave Spina (RW/LW),RW/LW
Juuso Ikonen (RW/LW),Kärpät,55,9,30,39,0.71,8,6,https://www.eliteprospects.com/player/45981/juuso-ikonen,2015-2016,liiga,Juuso Ikonen (RW/LW),RW/LW
Charles Bertrand (RW),Sport,52,19,19,38,0.73,16,4,https://www.eliteprospects.com/player/32965/charles-bertrand,2015-2016,liiga,Charles Bertrand (RW),RW
Mika Niemi (C),Kärpät,57,14,24,38,0.67,22,15,https://www.eliteprospects.com/player/12329/mika-niemi,2015-2016,liiga,Mika Niemi (C),C
