player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
Pierre-Marc Bouchard (C),EV Zug,49,12,55,67,1.37,20,6,https://www.eliteprospects.com/player/9086/pierre-marc-bouchard,2015-2016,nl,Pierre-Marc Bouchard (C),C
Perttu Lindgren (C),HC Davos,50,22,40,62,1.24,20,34,https://www.eliteprospects.com/player/6423/perttu-lindgren,2015-2016,nl,Perttu Lindgren (C),C
Lino Martschini (RW),EV Zug,50,26,28,54,1.08,6,6,https://www.eliteprospects.com/player/70432/lino-martschini,2015-2016,nl,Lino Martschini (RW),RW
Cory Conacher (C/W),SC Bern,48,22,30,52,1.08,68,0,https://www.eliteprospects.com/player/33265/cory-conacher,2015-2016,nl,Cory Conacher (C/W),C/W
Robert Nilsson (W/C),ZSC Lions,48,12,40,52,1.08,16,22,https://www.eliteprospects.com/player/352/robert-nilsson,2015-2016,nl,Robert Nilsson (W/C),W/C
Marc Wieser (RW),HC Davos,50,24,25,49,0.98,20,24,https://www.eliteprospects.com/player/17570/marc-wieser,2015-2016,nl,Marc Wieser (RW),RW
Linus Klasen (LW),HC Lugano,49,14,35,49,1.00,18,7,https://www.eliteprospects.com/player/2295/linus-klasen,2015-2016,nl,Linus Klasen (LW),LW
Fredrik Pettersson (RW),HC Lugano,50,26,22,48,0.96,52,4,https://www.eliteprospects.com/player/1715/fredrik-pettersson,2015-2016,nl,Fredrik Pettersson (RW),RW
Josh Holden (C),EV Zug,48,18,30,48,1.00,20,7,https://www.eliteprospects.com/player/10825/josh-holden,2015-2016,nl,Josh Holden (C),C
Auston Matthews (C/LW),ZSC Lions,36,24,22,46,1.28,6,16,https://www.eliteprospects.com/player/199898/auston-matthews,2015-2016,nl,Auston Matthews (C/LW),C/LW
Harri Pesonen (LW),Lausanne HC,50,22,24,46,0.92,18,3,https://www.eliteprospects.com/player/15181/harri-pesonen,2015-2016,nl,Harri Pesonen (LW),LW
Jarkko Immonen (C),EV Zug,49,24,17,41,0.84,22,5,https://www.eliteprospects.com/player/3181/jarkko-immonen,2015-2016,nl,Jarkko Immonen (C),C
Andres Ambühl (W/C),HC Davos,50,14,27,41,0.82,30,11,https://www.eliteprospects.com/player/12672/andres-ambuhl,2015-2016,nl,Andres Ambühl (W/C),W/C
Matt D'Agostini (RW/LW),Genève-Servette HC,46,20,20,40,0.87,47,3,https://www.eliteprospects.com/player/11721/matt-d-agostini,2015-2016,nl,Matt D'Agostini (RW/LW),RW/LW
Inti Pestoni (LW),HC Ambrì-Piotta,50,15,25,40,0.80,12,0,https://www.eliteprospects.com/player/34822/inti-pestoni,2015-2016,nl,Inti Pestoni (LW),LW
Tommi Santala (C),Kloten Flyers,48,13,26,39,0.81,50,6,https://www.eliteprospects.com/player/2711/tommi-santala,2015-2016,nl,Tommi Santala (C),C
Dick Axelsson (LW),HC Davos,38,10,29,39,1.03,62,23,https://www.eliteprospects.com/player/3778/dick-axelsson,2015-2016,nl,Dick Axelsson (LW),LW
Chris DiDomenico (C/RW),SCL Tigers,46,12,26,38,0.83,42,-11,https://www.eliteprospects.com/player/11319/chris-didomenico,2015-2016,nl,Chris DiDomenico (C/RW),C/RW
Daniel Sondell (D),EV Zug,48,4,34,38,0.79,10,1,https://www.eliteprospects.com/player/529/daniel-sondell,2015-2016,nl,Daniel Sondell (D),D
Kevin Clark (RW),SCL Tigers,42,18,19,37,0.88,53,-10,https://www.eliteprospects.com/player/15040/kevin-clark,2015-2016,nl,Kevin Clark (RW),RW
Denis Hollenstein (LW/RW),Kloten Flyers,43,14,23,37,0.86,38,7,https://www.eliteprospects.com/player/11838/denis-hollenstein,2015-2016,nl,Denis Hollenstein (LW/RW),LW/RW
Mikko Mäenpää (D),HC Ambrì-Piotta,46,6,31,37,0.80,16,14,https://www.eliteprospects.com/player/7965/mikko-maenpaa,2015-2016,nl,Mikko Mäenpää (D),D
Julien Sprunger (RW),HC Fribourg-Gottéron,43,25,11,36,0.84,20,0,https://www.eliteprospects.com/player/9242/julien-sprunger,2015-2016,nl,Julien Sprunger (RW),RW
Alexandre Giroux (LW/RW),HC Ambrì-Piotta,48,17,19,36,0.75,28,4,https://www.eliteprospects.com/player/7963/alexandre-giroux,2015-2016,nl,Alexandre Giroux (LW/RW),LW/RW
Cory Emmerton (C),HC Ambrì-Piotta,49,15,21,36,0.73,10,1,https://www.eliteprospects.com/player/9348/cory-emmerton,2015-2016,nl,Cory Emmerton (C),C
Nicklas Danielsson (RW),Lausanne HC,49,12,23,35,0.71,20,-1,https://www.eliteprospects.com/player/610/nicklas-danielsson,2015-2016,nl,Nicklas Danielsson (RW),RW
Tony Mårtensson (C),HC Lugano,42,11,24,35,0.83,22,15,https://www.eliteprospects.com/player/59/tony-martensson,2015-2016,nl,Tony Mårtensson (C),C
Ryan Shannon (C/RW),ZSC Lions,42,9,26,35,0.83,6,4,https://www.eliteprospects.com/player/9443/ryan-shannon,2015-2016,nl,Ryan Shannon (C/RW),C/RW
Reto Suri (C/W),EV Zug,48,18,16,34,0.71,73,7,https://www.eliteprospects.com/player/15165/reto-suri,2015-2016,nl,Reto Suri (C/W),C/W
Damien Brunner (RW/LW),HC Lugano,36,13,21,34,0.94,18,16,https://www.eliteprospects.com/player/18949/damien-brunner,2015-2016,nl,Damien Brunner (RW/LW),RW/LW
Kevin Romy (C),Genève-Servette HC,49,11,23,34,0.69,12,1,https://www.eliteprospects.com/player/9649/kevin-romy,2015-2016,nl,Kevin Romy (C),C
Andrei Bykov (C),HC Fribourg-Gottéron,43,8,26,34,0.79,10,-1,https://www.eliteprospects.com/player/10619/andrei-bykov,2015-2016,nl,Andrei Bykov (C),C
Vincent Praplan (C/RW),Kloten Flyers,50,18,15,33,0.66,4,10,https://www.eliteprospects.com/player/85308/vincent-praplan,2015-2016,nl,Vincent Praplan (C/RW),C/RW
Simon Moser (C/W),SC Bern,50,16,17,33,0.66,48,-9,https://www.eliteprospects.com/player/15163/simon-moser,2015-2016,nl,Simon Moser (C/W),C/W
Romain Loeffel (D),Genève-Servette HC,50,6,27,33,0.66,52,-1,https://www.eliteprospects.com/player/17681/romain-loeffel,2015-2016,nl,Romain Loeffel (D),D
Martin Plüss (C),SC Bern,50,16,16,32,0.64,18,-12,https://www.eliteprospects.com/player/4091/martin-pluss,2015-2016,nl,Martin Plüss (C),C
Grégory Hofmann (LW),HC Lugano,46,17,14,31,0.67,47,3,https://www.eliteprospects.com/player/66536/gregory-hofmann,2015-2016,nl,Grégory Hofmann (LW),LW
Ryan Keller (RW),ZSC Lions,47,18,12,30,0.64,22,10,https://www.eliteprospects.com/player/11763/ryan-keller,2015-2016,nl,Ryan Keller (RW),RW
Killian Mottet (LW),HC Fribourg-Gottéron,50,12,18,30,0.60,62,-4,https://www.eliteprospects.com/player/34820/killian-mottet,2015-2016,nl,Killian Mottet (LW),LW
Derek Roy (C),SC Bern,36,9,21,30,0.83,26,0,https://www.eliteprospects.com/player/8810/derek-roy,2015-2016,nl,Derek Roy (C),C
Matthias Bieber (LW/C),Kloten Flyers,45,15,14,29,0.64,10,-7,https://www.eliteprospects.com/player/9243/matthias-bieber,2015-2016,nl,Matthias Bieber (LW/C),LW/C
Tom Pyatt (C),Genève-Servette HC,42,11,18,29,0.69,8,6,https://www.eliteprospects.com/player/9199/tom-pyatt,2015-2016,nl,Tom Pyatt (C),C
Mauro Jörg (RW/LW),HC Davos,47,11,18,29,0.62,4,0,https://www.eliteprospects.com/player/17695/mauro-jorg,2015-2016,nl,Mauro Jörg (RW/LW),RW/LW
Dino Wieser (LW),HC Davos,43,9,20,29,0.67,63,8,https://www.eliteprospects.com/player/15158/dino-wieser,2015-2016,nl,Dino Wieser (LW),LW
Erik Gustafsson (D),Kloten Flyers,48,3,26,29,0.60,18,-2,https://www.eliteprospects.com/player/5545/erik-gustafsson,2015-2016,nl,Erik Gustafsson (D),D
Jim Slater (C),Genève-Servette HC,32,15,13,28,0.88,22,7,https://www.eliteprospects.com/player/8562/jim-slater,2015-2016,nl,Jim Slater (C),C
Etienne Froidevaux (C),Lausanne HC,50,15,13,28,0.56,22,-9,https://www.eliteprospects.com/player/15159/etienne-froidevaux,2015-2016,nl,Etienne Froidevaux (C),C
Ossi Louhivaara (RW),Lausanne HC,43,12,16,28,0.65,18,1,https://www.eliteprospects.com/player/3203/ossi-louhivaara,2015-2016,nl,Ossi Louhivaara (RW),RW
Eric Blum (D),SC Bern,35,4,24,28,0.80,12,-5,https://www.eliteprospects.com/player/9240/eric-blum,2015-2016,nl,Eric Blum (D),D
Chad Kolarik (RW),Kloten Flyers,36,15,12,27,0.75,14,-8,https://www.eliteprospects.com/player/9432/chad-kolarik,2015-2016,nl,Chad Kolarik (RW),RW
Alessio Bertaggia (LW/RW),HC Lugano,45,14,13,27,0.60,12,11,https://www.eliteprospects.com/player/34307/alessio-bertaggia,2015-2016,nl,Alessio Bertaggia (LW/RW),LW/RW
Tim Stapleton (C/RW),totals,43,11,16,27,0.63,28,0,https://www.eliteprospects.com/player/9709/tim-stapleton,2015-2016,nl,Tim Stapleton (C/RW),C/RW
Jeremy Wick (RW/D),Genève-Servette HC,45,9,18,27,0.60,53,6,https://www.eliteprospects.com/player/39521/jeremy-wick,2015-2016,nl,Jeremy Wick (RW/D),RW/D
Yannick Rathgeb (D),HC Fribourg-Gottéron,50,9,18,27,0.54,38,1,https://www.eliteprospects.com/player/95055/yannick-rathgeb,2015-2016,nl,Yannick Rathgeb (D),D
Alain Miéville (C),Lausanne HC,45,3,24,27,0.60,14,8,https://www.eliteprospects.com/player/34315/alain-mieville,2015-2016,nl,Alain Miéville (C),C
Thibaut Monnet (LW/C),HC Ambrì-Piotta,48,13,13,26,0.54,18,-10,https://www.eliteprospects.com/player/9639/thibaut-monnet,2015-2016,nl,Thibaut Monnet (LW/C),LW/C
Anton Gustafsson (C/D),SCL Tigers,43,11,15,26,0.60,14,0,https://www.eliteprospects.com/player/6058/anton-gustafsson,2015-2016,nl,Anton Gustafsson (C/D),C/D
Thomas Nüssli (LW/C),SCL Tigers,44,10,16,26,0.59,20,-14,https://www.eliteprospects.com/player/12648/thomas-nussli,2015-2016,nl,Thomas Nüssli (LW/C),LW/C
Yannick-Lennart Albrecht (C/LW),SCL Tigers,49,13,12,25,0.51,10,-3,https://www.eliteprospects.com/player/97195/yannick-lennart-albrecht,2015-2016,nl,Yannick-Lennart Albrecht (C/LW),C/LW
Pär Arlbrandt (RW),EHC Biel-Bienne,36,12,13,25,0.69,10,-18,https://www.eliteprospects.com/player/825/par-arlbrandt,2015-2016,nl,Pär Arlbrandt (RW),RW
James Sheppard (C/LW),Kloten Flyers,37,11,14,25,0.68,67,-5,https://www.eliteprospects.com/player/11121/james-sheppard,2015-2016,nl,James Sheppard (C/LW),C/LW
Roman Wick (LW/RW),ZSC Lions,38,11,14,25,0.66,12,10,https://www.eliteprospects.com/player/17894/roman-wick,2015-2016,nl,Roman Wick (LW/RW),LW/RW
Joël Genazzi (D/F),Lausanne HC,49,11,14,25,0.51,14,-5,https://www.eliteprospects.com/player/17593/joel-genazzi,2015-2016,nl,Joël Genazzi (D/F),D/F
Sakari Salminen (RW/LW),HC Fribourg-Gottéron,43,10,15,25,0.58,10,-3,https://www.eliteprospects.com/player/13635/sakari-salminen,2015-2016,nl,Sakari Salminen (RW/LW),RW/LW
Gaëtan Haas (C),EHC Biel-Bienne,38,9,16,25,0.66,8,-5,https://www.eliteprospects.com/player/34816/gaetan-haas,2015-2016,nl,Gaëtan Haas (C),C
Marc-André Bergeron (D),ZSC Lions,43,7,18,25,0.58,22,20,https://www.eliteprospects.com/player/5672/marc-andre-bergeron,2015-2016,nl,Marc-André Bergeron (D),D
Tobias Bucher (C/LW),SCL Tigers,48,7,18,25,0.52,22,-2,https://www.eliteprospects.com/player/18481/tobias-bucher,2015-2016,nl,Tobias Bucher (C/LW),C/LW
Severin Blindenbacher (D),ZSC Lions,46,3,22,25,0.54,28,13,https://www.eliteprospects.com/player/12678/severin-blindenbacher,2015-2016,nl,Severin Blindenbacher (D),D
