player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
Ryan Lasch (RW),Frölunda HC,51,15,36,51,1.00,20,10,https://www.eliteprospects.com/player/12382/ryan-lasch,2015-2016,shl,Ryan Lasch (RW),RW
Patrick Thoresen (W/C),Djurgårdens IF,49,15,33,48,0.98,34,12,https://www.eliteprospects.com/player/3419/patrick-thoresen,2015-2016,shl,Patrick Thoresen (W/C),W/C
Patrik Zackrisson (C/RW),Skellefteå AIK,52,15,33,48,0.92,68,25,https://www.eliteprospects.com/player/2020/patrik-zackrisson,2015-2016,shl,Patrik Zackrisson (C/RW),C/RW
Milan Gulas (RW),Färjestad BK,51,20,25,45,0.88,20,-4,https://www.eliteprospects.com/player/22577/milan-gulas,2015-2016,shl,Milan Gulas (RW),RW
Richard Gynge (RW),Växjö Lakers HC,46,21,23,44,0.96,24,23,https://www.eliteprospects.com/player/3482/richard-gynge,2015-2016,shl,Richard Gynge (RW),RW
Andreas Johnsson (LW/RW),Frölunda HC,52,19,25,44,0.85,20,8,https://www.eliteprospects.com/player/43991/andreas-johnsson,2015-2016,shl,Andreas Johnsson (LW/RW),LW/RW
Andrew Gordon (RW),Linköping HC,52,18,26,44,0.85,30,18,https://www.eliteprospects.com/player/11449/andrew-gordon,2015-2016,shl,Andrew Gordon (RW),RW
John Norman (C/W),Skellefteå AIK,47,17,25,42,0.89,18,5,https://www.eliteprospects.com/player/7782/john-norman,2015-2016,shl,John Norman (C/W),C/W
Garrett Roe (C),Linköping HC,41,14,27,41,1.00,28,14,https://www.eliteprospects.com/player/14867/garrett-roe,2015-2016,shl,Garrett Roe (C),C
Matt Anderson (RW/C),Djurgårdens IF,52,18,22,40,0.77,30,8,https://www.eliteprospects.com/player/13432/matt-anderson,2015-2016,shl,Matt Anderson (RW/C),RW/C
Mikael Johansson (C/LW),Färjestad BK,51,12,28,40,0.78,18,6,https://www.eliteprospects.com/player/2647/mikael-johansson,2015-2016,shl,Mikael Johansson (C/LW),C/LW
Robert Rosén (C),Växjö Lakers HC,52,17,22,39,0.75,22,27,https://www.eliteprospects.com/player/5738/robert-rosen,2015-2016,shl,Robert Rosén (C),C
Greg Scott (C/RW),Brynäs IF,52,16,23,39,0.75,16,1,https://www.eliteprospects.com/player/15395/greg-scott,2015-2016,shl,Greg Scott (C/RW),C/RW
Joel Lundqvist (C),Frölunda HC,45,19,19,38,0.84,22,9,https://www.eliteprospects.com/player/305/joel-lundqvist,2015-2016,shl,Joel Lundqvist (C),C
Daniel Viksten (RW),Örebro HK,49,17,20,37,0.76,4,0,https://www.eliteprospects.com/player/7219/daniel-viksten,2015-2016,shl,Daniel Viksten (RW),RW
Anton Rödin (RW/LW),Brynäs IF,33,16,21,37,1.12,18,7,https://www.eliteprospects.com/player/7084/anton-rodin,2015-2016,shl,Anton Rödin (RW/LW),RW/LW
Jack Connolly (C),Rögle BK,50,9,28,37,0.74,14,0,https://www.eliteprospects.com/player/15676/jack-connolly,2015-2016,shl,Jack Connolly (C),C
Patrick Cehlin (RW),Rögle BK,52,20,16,36,0.69,52,-2,https://www.eliteprospects.com/player/6047/patrick-cehlin,2015-2016,shl,Patrick Cehlin (RW),RW
Johan Sundström (C),Frölunda HC,51,17,19,36,0.71,16,21,https://www.eliteprospects.com/player/16727/johan-sundstrom,2015-2016,shl,Johan Sundström (C),C
Markus Ljungh (C),Djurgårdens IF,48,13,23,36,0.75,12,14,https://www.eliteprospects.com/player/13329/markus-ljungh,2015-2016,shl,Markus Ljungh (C),C
Broc Little (LW),Linköping HC,43,21,14,35,0.81,24,7,https://www.eliteprospects.com/player/34071/broc-little,2015-2016,shl,Broc Little (LW),LW
Spencer Abbott (W/C),Frölunda HC,42,14,21,35,0.83,4,8,https://www.eliteprospects.com/player/24817/spencer-abbott,2015-2016,shl,Spencer Abbott (W/C),W/C
Nick Johnson (RW),Brynäs IF,52,22,12,34,0.65,16,-16,https://www.eliteprospects.com/player/17765/nick-johnson,2015-2016,shl,Nick Johnson (RW),RW
Andrew Calof (RW),Skellefteå AIK,52,19,15,34,0.65,45,11,https://www.eliteprospects.com/player/40211/andrew-calof,2015-2016,shl,Andrew Calof (RW),RW
Marcus Sörensen (W),Djurgårdens IF,47,15,19,34,0.72,34,12,https://www.eliteprospects.com/player/20065/marcus-sorensen,2015-2016,shl,Marcus Sörensen (W),W
Martin Johansson (LW),Örebro HK,48,15,19,34,0.71,8,5,https://www.eliteprospects.com/player/2047/martin-johansson,2015-2016,shl,Martin Johansson (LW),LW
Jacob Micflikier (LW/RW),Luleå HF,52,19,14,33,0.63,34,8,https://www.eliteprospects.com/player/12031/jacob-micflikier,2015-2016,shl,Jacob Micflikier (LW/RW),LW/RW
Artturi Lehkonen (LW/RW),Frölunda HC,49,16,17,33,0.67,12,6,https://www.eliteprospects.com/player/43584/artturi-lehkonen,2015-2016,shl,Artturi Lehkonen (LW/RW),LW/RW
Martin Thörnberg (LW),HV71,49,11,22,33,0.67,20,3,https://www.eliteprospects.com/player/2058/martin-thornberg,2015-2016,shl,Martin Thörnberg (LW),LW
Pathrik Westerholm (C),Brynäs IF,52,7,26,33,0.63,18,6,https://www.eliteprospects.com/player/13146/pathrik-westerholm,2015-2016,shl,Pathrik Westerholm (C),C
Mattias Guter (RW),Karlskrona HK,48,19,13,32,0.67,10,-17,https://www.eliteprospects.com/player/4356/mattias-guter,2015-2016,shl,Mattias Guter (RW),RW
Toni Rajala (LW/RW),Luleå HF,52,17,15,32,0.62,8,1,https://www.eliteprospects.com/player/16035/toni-rajala,2015-2016,shl,Toni Rajala (LW/RW),LW/RW
Mattias Tedenby (LW),HV71,47,13,19,32,0.68,41,-4,https://www.eliteprospects.com/player/6013/mattias-tedenby,2015-2016,shl,Mattias Tedenby (LW),LW
