player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
Kamil Brabenec (LW/C),HKM Zvolen,55,19,39,58,1.05,62,16,https://www.eliteprospects.com/player/504/kamil-brabenec,2015-2016,slovakia,Kamil Brabenec (LW/C),LW/C
Juraj Majdan (LW/RW),HC Banska Bystrica,54,22,31,53,0.98,28,26,https://www.eliteprospects.com/player/34754/juraj-majdan,2015-2016,slovakia,Juraj Majdan (LW/RW),LW/RW
Lukas Hvila (LW),totals,49,29,18,47,0.96,20,1,https://www.eliteprospects.com/player/23654/lukas-hvila,2015-2016,slovakia,Lukas Hvila (LW),LW
Radovan Pulis (RW/C),HKM Zvolen,44,22,24,46,1.05,61,10,https://www.eliteprospects.com/player/19367/radovan-pulis,2015-2016,slovakia,Radovan Pulis (RW/C),RW/C
Jan Semorád (RW/LW),HKM Zvolen,54,22,23,45,0.83,66,17,https://www.eliteprospects.com/player/15145/jan-semorad,2015-2016,slovakia,Jan Semorád (RW/LW),RW/LW
Peter Bartos (RW/C),HC Kosice,54,19,26,45,0.83,26,26,https://www.eliteprospects.com/player/18375/peter-bartos,2015-2016,slovakia,Peter Bartos (RW/C),RW/C
Pavel Klhufek (LW/C),HKM Zvolen,55,19,25,44,0.80,38,13,https://www.eliteprospects.com/player/109329/pavel-klhufek,2015-2016,slovakia,Pavel Klhufek (LW/C),LW/C
Jakub Ruckay (RW),SHK 37 Piestany,55,15,29,44,0.80,32,1,https://www.eliteprospects.com/player/22407/jakub-ruckay,2015-2016,slovakia,Jakub Ruckay (RW),RW
David Laliberté (RW),HK Nitra,37,19,23,42,1.14,18,18,https://www.eliteprospects.com/player/11124/david-laliberte,2015-2016,slovakia,David Laliberté (RW),RW
Tibor Varga (RW),totals,54,17,25,42,0.78,18,1,https://www.eliteprospects.com/player/41629/tibor-varga,2015-2016,slovakia,Tibor Varga (RW),RW
Arne Kroták (LW),HK Poprad,49,14,27,41,0.84,83,8,https://www.eliteprospects.com/player/27238/arne-krotak,2015-2016,slovakia,Arne Kroták (LW),LW
Marcel Holovic (LW),SHK 37 Piestany,45,15,25,40,0.89,34,2,https://www.eliteprospects.com/player/33145/marcel-holovic,2015-2016,slovakia,Marcel Holovic (LW),LW
Juraj Stefanka (LW/C),HK Nitra,52,14,26,40,0.77,36,6,https://www.eliteprospects.com/player/23417/juraj-stefanka,2015-2016,slovakia,Juraj Stefanka (LW/C),LW/C
Petr Obdrzalek (LW),HKM Zvolen,53,14,26,40,0.75,50,8,https://www.eliteprospects.com/player/35859/petr-obdrzalek,2015-2016,slovakia,Petr Obdrzalek (LW),LW
Jiri Bicek (LW/RW),HC Kosice,47,13,27,40,0.85,10,11,https://www.eliteprospects.com/player/5988/jiri-bicek,2015-2016,slovakia,Jiri Bicek (LW/RW),LW/RW
Richard Jencik (W/C),HC Kosice,54,10,30,40,0.74,14,24,https://www.eliteprospects.com/player/27299/richard-jencik,2015-2016,slovakia,Richard Jencik (W/C),W/C
Radoslav Macík (LW),HK Nitra,54,18,21,39,0.72,30,12,https://www.eliteprospects.com/player/75335/radoslav-macik,2015-2016,slovakia,Radoslav Macík (LW),LW
Marek Slovák (C),HK Nitra,54,11,28,39,0.72,56,21,https://www.eliteprospects.com/player/15192/marek-slovak,2015-2016,slovakia,Marek Slovák (C),C
