player,position,link,total_gp,total_g,total_a,total_tp,total_ppg,total_pim,total_pm,nhle_g,nhle_a,nhle_tp,nhle_ppg,legacy_veteran,new_veteran,non_vet_ufa,league,call_up_send_down,active
Maksim Matushkin,D,/player/10016/maksim-matushkin,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,del,—,False
Henrik Tömmernes,D,/player/10018/henrik-tommernes,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,shl,—,False
Tomas Pavelka,D,/player/100224/tomas-pavelka,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,czechia,—,False
Petr Koblasa,RW,/player/100305/petr-koblasa,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,czechia,—,False
Ronald Knot,D,/player/100443/ronald-knot,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,czechia,—,False
Martin Procházka,RW/LW,/player/100470/martin-prochazka,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,czechia,—,False
Jan Schleiss,RW/LW,/player/100476/jan-schleiss,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,czechia,—,False
Santeri Väistö,D,/player/1005995/santeri-vaisto,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,liiga,—,False
Tim Heed,D,/player/10065/tim-heed,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nl,—,False
Niclas Rentsch,F,/player/1008194/niclas-rentsch,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nl,—,False
Jan Kostalek,D,/player/100867/jan-kostalek,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,czechia,—,False
Max Laatikainen,D,/player/1008854/max-laatikainen,1,0,0,0,0.0,0,-2,0.0,0.0,0.0,0.0,False,False,False,liiga,—,True
Samuel Suoniemi,D,/player/1009081/samuel-suoniemi,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,liiga,—,False
Max Poikela,F,/player/1009083/max-poikela,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,liiga,—,False
Liron Pellizzari,D,/player/1010098/liron-pellizzari,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,del,—,False
Jan Stencel,D,/player/101097/jan-stencel,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,czechia,—,False
David Nemecek,D,/player/101143/david-nemecek,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,czechia,—,False
Dominik Kubalík,LW/RW,/player/101221/dominik-kubalik,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nl,—,False
Jan Mandát,C/LW,/player/101225/jan-mandat,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,czechia,—,False
Jakub Vrána,LW/RW,/player/101250/jakub-vrana,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,shl,—,False
Patrik Zdráhal,LW/RW,/player/101252/patrik-zdrahal,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,czechia,—,False
Nathan Walker,LW/RW,/player/101430/nathan-walker,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Jordan Staal,C/LW,/player/10157/jordan-staal,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Shea Theodore,D,/player/101581/shea-theodore,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Albin Lundin,C,/player/101806/albin-lundin,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,shl,—,False
Brandon Hawkins,RW/LW,/player/101957/brandon-hawkins,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,echl,—,False
Andrew Copp,C/LW,/player/101962/andrew-copp,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Jake Lucchini,C/LW,/player/102374/jake-lucchini,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,ahl,—,False
Tomas Nosek,LW/C,/player/102439/tomas-nosek,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,czechia,—,False
Tomas Fort,C,/player/102440/tomas-fort,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,czechia,—,False
Filip Mezovský,D,/player/102446/filip-mezovsky,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,slovakia,—,False
David Soltes,LW/RW,/player/102975/david-soltes,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,slovakia,—,False
Yaroslav Fedoseyev,D,/player/1031327/yaroslav-fedoseyev,2,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,khl,—,True
Joel Tarvainen,D,/player/1032260/joel-tarvainen,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,liiga,—,False
Rasmus Miilunpohja,F,/player/1032264/rasmus-miilunpohja,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,liiga,—,False
Roni Kuukasjärvi,D,/player/1032870/roni-kuukasjarvi,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,liiga,—,False
Miska Liljeberg,F,/player/1032879/miska-liljeberg,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,liiga,—,False
Daniil Kazulayev,RW/LW,/player/1034629/daniil-kazulayev,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,khl,—,False
Adam Tambellini,C/LW,/player/103529/adam-tambellini,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nl,—,False
Myles Powell,LW/C,/player/103660/myles-powell,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,del,—,False
Ryan Graves,D,/player/103763/ryan-graves,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Ryan Schmelzer,C/RW,/player/103818/ryan-schmelzer,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,ahl,—,False
Patrik Nemeth,D,/player/10383/patrik-nemeth,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nl,—,False
Gabriel Landeskog,LW/RW,/player/10393/gabriel-landeskog,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Vsevolod Matveyev,D,/player/1040199/vsevolod-matveyev,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,khl,—,False
Anthony Mantha,RW/LW,/player/104045/anthony-mantha,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Jarkko Parikka,D,/player/104067/jarkko-parikka,2,0,0,0,0.0,0,1,0.0,0.0,0.0,0.0,False,False,False,liiga,—,True
Drew Doughty,D,/player/10430/drew-doughty,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Claude Giroux,W/C,/player/10437/claude-giroux,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Brad Marchand,LW,/player/10439/brad-marchand,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Antti Kalapudas,C,/player/104400/antti-kalapudas,2,0,0,0,0.0,0,-6,0.0,0.0,0.0,0.0,False,False,False,liiga,—,True
Georgi Kaigorodov,D,/player/1044349/georgi-kaigorodov,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,khl,—,False
Kirill Vorobyov,D,/player/104460/kirill-vorobyov,2,0,0,0,0.0,0,-1,0.0,0.0,0.0,0.0,False,False,False,khl,—,True
Michal Řepík,RW,/player/10481/michal-%C5%98epik,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,czechia,—,False
Robert Hamilton,D,/player/104854/robert-hamilton,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,khl,—,False
Anton Rubin,D,/player/1052394/anton-rubin,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,khl,—,False
Magnus Nygren,D,/player/10538/magnus-nygren,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,shl,—,False
Jonas Siegenthaler,D,/player/105407/jonas-siegenthaler,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Danton Heinen,LW/C,/player/105821/danton-heinen,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Dominik Simon,C/W,/player/105831/dominik-simon,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,czechia,—,False
Semyon Chuklinov,D,/player/1059670/semyon-chuklinov,1,0,0,0,0.0,2,0,0.0,0.0,0.0,0.0,False,False,False,khl,—,True
Tomas Zaborsky,LW/C,/player/10610/tomas-zaborsky,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,slovakia,—,False
Philip Gogulla,LW,/player/10612/philip-gogulla,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,del,—,False
Yannick Weber,D,/player/10615/yannick-weber,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nl,—,False
Ross Johnston,LW/RW,/player/106154/ross-johnston,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Kirill Voronin,RW/LW,/player/106190/kirill-voronin,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,khl,—,False
Vyacheslav Voynov,D,/player/10627/vyacheslav-voynov,1,0,0,0,0.0,0,-2,0.0,0.0,0.0,0.0,False,False,False,khl,—,True
Hunter Fejes,LW,/player/106299/hunter-fejes,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,czechia,—,False
Mislav Rosandic,D,/player/106384/mislav-rosandic,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,slovakia,—,False
Nick Foligno,LW/RW,/player/10675/nick-foligno,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Alexei Maklyukov,D,/player/106894/alexei-maklyukov,1,0,1,1,1.0,0,1,0.0,0.6,0.6,0.6,False,False,False,khl,—,True
Damir Britikov,D,/player/1069795/damir-britikov,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,khl,—,True
Yevgeni Kulik,D,/player/106998/yevgeni-kulik,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,khl,—,False
Nick Seeler,D,/player/107099/nick-seeler,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Oscar Lindberg,C,/player/10711/oscar-lindberg,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,shl,—,False
