player,team,gp,g,a,tp,ppg,pim,+/-,season,league,position,link,playername
Felix Unger Sörum (RW/LW),Chicago Wolves,72,17,49,66,0.92,20,13,2025-2026,ahl,RW/LW,https://www.eliteprospects.com/player/618598/felix-unger-sorum,Felix Unger Sorum
Curtis McKenzie (W/C),Texas Stars,72,11,18,29,0.4,71,-4,2025-2026,ahl,W/C,https://www.eliteprospects.com/player/19277/curtis-mckenzie,Curtis Mckenzie
Trey Fix-Wolansky (RW/LW),Hartford Wolf Pack,72,31,24,55,0.76,121,-9,2025-2026,ahl,RW/LW,https://www.eliteprospects.com/player/257717/trey-fix-wolansky,Trey Fixwolansky
Matyas Sapovaliv (C/LW),Henderson Silver Knights,72,18,17,35,0.49,8,-9,2025-2026,ahl,C/LW,https://www.eliteprospects.com/player/559506/matyas-sapovaliv,Matyas Sapovaliv
Samuel Fagemo (LW/RW),Manitoba Moose,72,19,16,35,0.49,22,-22,2025-2026,ahl,LW/RW,https://www.eliteprospects.com/player/288459/samuel-fagemo,Samuel Fagemo
Jaret Anderson-Dolan (C/W),Manitoba Moose,72,13,23,36,0.5,58,-5,2025-2026,ahl,C/W,https://www.eliteprospects.com/player/278859/jaret-anderson-dolan,Jaret Andersondolan
Sean Farrell (C/LW),Laval Rocket,72,17,36,53,0.74,20,-2,2025-2026,ahl,C/LW,https://www.eliteprospects.com/player/386329/sean-farrell,Sean Farrell
Logan Shaw (RW/C),Toronto Marlies,72,23,31,54,0.75,45,-1,2025-2026,ahl,RW/C,https://www.eliteprospects.com/player/37280/logan-shaw,Logan Shaw
Matthew Seminoff (RW/C),Texas Stars,72,24,26,50,0.69,24,13,2025-2026,ahl,RW/C,https://www.eliteprospects.com/player/538928/matthew-seminoff,Matthew Seminoff
Clark Bishop (C/LW),Calgary Wranglers,72,14,13,27,0.38,63,-7,2025-2026,ahl,C/LW,https://www.eliteprospects.com/player/191376/clark-bishop,Clark Bishop
Jack Williams (RW/C),Cleveland Monsters,72,15,23,38,0.53,14,0,2025-2026,ahl,RW/C,https://www.eliteprospects.com/player/498800/jack-williams,Jack Williams
Dylan Roobroeck (C/LW),Hartford Wolf Pack,72,11,15,26,0.36,90,-17,2025-2026,ahl,C/LW,https://www.eliteprospects.com/player/603612/dylan-roobroeck,Dylan Roobroeck
Braden Haché (D),San Jose Barracuda,72,3,8,11,0.15,120,3,2025-2026,ahl,D,https://www.eliteprospects.com/player/614397/braden-hache,Braden Hache
Jérémy Davies (D),Henderson Silver Knights,72,9,38,47,0.65,74,1,2025-2026,ahl,D,https://www.eliteprospects.com/player/213454/jeremy-davies,Jeremy Davies
Riley Duran (RW/C),Providence Bruins,72,7,12,19,0.26,22,19,2025-2026,ahl,RW/C,manual_riley_duran_rw,Riley Duran
Tyson Jugnauth (D),Coachella Valley Firebirds,72,9,36,45,0.63,44,-2,2025-2026,ahl,D,manual_tyson_jugnauth_d,Tyson Jugnauth
Ben Steeves (LW/RW),Charlotte Checkers,72,23,22,45,0.63,100,3,2025-2026,ahl,LW/RW,https://www.eliteprospects.com/player/510338/ben-steeves,Ben Steeves
Phil Di Giuseppe (LW/RW),Manitoba Moose,72,15,20,35,0.49,74,-12,2025-2026,ahl,LW/RW,https://www.eliteprospects.com/player/62746/phil-di-giuseppe,Phil Di Giuseppe
Harrison Scott (C/LW),Texas Stars,72,18,14,32,0.44,38,-3,2025-2026,ahl,C/LW,https://www.eliteprospects.com/player/393183/harrison-scott,Harrison Scott
Andrew Cristall (LW),Hershey Bears,72,20,40,60,0.83,24,-6,2025-2026,ahl,LW,manual_andrew_cristall_lw,Andrew Cristall
Viljami Marjala (LW/C),Bakersfield Condors,72,17,43,60,0.83,22,-8,2025-2026,ahl,LW/C,https://www.eliteprospects.com/player/525657/viljami-marjala,Viljami Marjala
Dylan Duke (LW/C),Syracuse Crunch,72,32,27,59,0.82,42,-6,2025-2026,ahl,LW/C,https://www.eliteprospects.com/player/512163/dylan-duke,Dylan Duke
Noel Gunler (RW/LW),Chicago Wolves,71,15,20,35,0.49,56,-15,2025-2026,ahl,RW/LW,https://www.eliteprospects.com/player/393444/noel-gunler,Noel Gunler
Patrick Brown (C/RW),Providence Bruins,71,20,34,54,0.76,56,36,2025-2026,ahl,C/RW,https://www.eliteprospects.com/player/75038/patrick-brown,Patrick Brown
Jack Becker (C/RW),Texas Stars,71,14,26,40,0.56,36,16,2025-2026,ahl,C/RW,https://www.eliteprospects.com/player/248382/jack-becker,Jack Becker
Glenn Gawdin (C/RW),Ontario Reign,71,16,35,51,0.72,73,3,2025-2026,ahl,C/RW,https://www.eliteprospects.com/player/192245/glenn-gawdin,Glenn Gawdin
Mitch McLain (C/LW),Henderson Silver Knights,71,22,18,40,0.56,107,-5,2025-2026,ahl,C/LW,https://www.eliteprospects.com/player/193228/mitch-mclain,Mitch Mclain
Filip Mesar (RW),Laval Rocket,71,9,18,27,0.38,26,1,2025-2026,ahl,RW,https://www.eliteprospects.com/player/527430/filip-mesar,Filip Mesar
Jagger Joshua (LW/RW),Rochester Americans,71,8,18,26,0.37,101,-8,2025-2026,ahl,LW/RW,https://www.eliteprospects.com/player/317021/jagger-joshua,Jagger Joshua
Judd Caulfield (RW/LW),San Diego Gulls,71,17,21,38,0.54,14,0,2025-2026,ahl,RW/LW,https://www.eliteprospects.com/player/444997/judd-caulfield,Judd Caulfield
Corey Schueneman (D),Multiple Teams,71,6,25,31,0.44,27,9,2025-2026,ahl,D,https://www.eliteprospects.com/player/118661/corey-schueneman,Corey Schueneman
Justin Bailey (RW/LW),San Diego Gulls,71,25,17,42,0.59,40,1,2025-2026,ahl,RW/LW,https://www.eliteprospects.com/player/116970/justin-bailey,Justin Bailey
Sasha Pastujov (RW/LW),San Diego Gulls,71,21,36,57,0.8,26,3,2025-2026,ahl,RW/LW,https://www.eliteprospects.com/player/512165/sasha-pastujov,Sasha Pastujov
Martin Chromiak (RW/LW),Ontario Reign,71,28,28,56,0.79,14,1,2025-2026,ahl,RW/LW,https://www.eliteprospects.com/player/292067/martin-chromiak,Martin Chromiak
Seth Griffith (RW/C),Bakersfield Condors,71,18,49,67,0.94,50,-1,2025-2026,ahl,RW/C,https://www.eliteprospects.com/player/45606/seth-griffith,Seth Griffith
Riley Heidt (C/LW),Iowa Wild,71,8,17,25,0.35,38,-14,2025-2026,ahl,C/LW,https://www.eliteprospects.com/player/565748/riley-heidt,Riley Heidt
Mason Shaw (C/LW),Manitoba Moose,71,15,29,44,0.62,67,7,2025-2026,ahl,C/LW,https://www.eliteprospects.com/player/162926/mason-shaw,Mason Shaw
Casey Fitzgerald (D),Hartford Wolf Pack,71,4,19,23,0.32,85,-5,2025-2026,ahl,D,https://www.eliteprospects.com/player/177660/casey-fitzgerald,Casey Fitzgerald
Roland McKeown (D),San Diego Gulls,71,5,20,25,0.35,44,-19,2025-2026,ahl,D,https://www.eliteprospects.com/player/189364/roland-mckeown,Roland Mckeown
Stian Solberg (D),San Diego Gulls,71,12,12,24,0.34,102,-16,2025-2026,ahl,D,https://www.eliteprospects.com/player/619175/stian-solberg,Stian Solberg
Andrew Gibson (D),Milwaukee Admirals,71,2,11,13,0.18,80,-3,2025-2026,ahl,D,manual_andrew_gibson_d,Andrew Gibson
Samuel Poulin (W/C),Multiple Teams,71,21,28,49,0.69,55,15,2025-2026,ahl,W/C,https://www.eliteprospects.com/player/290171/samuel-poulin,Samuel Poulin
Ryan Carpenter (C/RW),San Diego Gulls,71,17,31,48,0.68,22,-9,2025-2026,ahl,C/RW,https://www.eliteprospects.com/player/46952/ryan-carpenter,Ryan Carpenter
Jimmy Huntington (C/LW),San Jose Barracuda,71,15,33,48,0.68,60,-3,2025-2026,ahl,C/LW,https://www.eliteprospects.com/player/254885/jimmy-huntington,Jimmy Huntington
Brian Pinho (C/RW),Charlotte Checkers,71,14,20,34,0.48,16,12,2025-2026,ahl,C/RW,https://www.eliteprospects.com/player/132024/brian-pinho,Brian Pinho
Matthew Phillips (RW/C),San Diego Gulls,71,16,36,52,0.73,18,-16,2025-2026,ahl,RW/C,https://www.eliteprospects.com/player/161060/matthew-phillips,Matthew Phillips
Nico Myatovic (LW/C),San Diego Gulls,71,7,12,19,0.27,28,6,2025-2026,ahl,LW/C,https://www.eliteprospects.com/player/650108/nico-myatovic,Nico Myatovic
Evan Vierling (C/W),Chicago Wolves,70,16,19,35,0.5,12,-12,2025-2026,ahl,C/W,https://www.eliteprospects.com/player/503023/evan-vierling,Evan Vierling
